FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JoinFieldP,Id,Id2,Geography,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Shape_Ar_2,Median_Inc,Population,Total_HHs,Total_Fami,Fam_Avg_Si,Fam_Marrie,Fam_Single,Fam_Sing_1,Total_NonF,NonFam_Avg,Fam_Sing_2,Fam_Sing_3,POV_Famili,POV_HH,POV_Marrie,POV_Single,POV_Sing_1,POV_Sing_2,POV_Sing_3,Pov_Sing_4,POV_Fami_1,POV_Fami_2,POV_HH_Abo,Emp_Popula,Emp_Labor_,Emp_Not_La,Emp_Employ,Emp_Unempl,Emp_Unem_1,Ed_Populat,Ed_Pop_Mal,Ed_Male_Co,Ed_Pop_Fem,Ed_Female_,Ed_Total_C,Ed_Total_1,Ed_At_Leas,Ed_HS_or_H,Exp_Single,Exp_Sing_1,Exp_Sing_2,Exp_Sing_3,Shape__Area,Shape__Length,education_total_pct
1,1,48,479,001501,2,484790015012,Block Group 2,G5030,S,446965,0,+27.5337798,-099.4969149,LDO484790015012,1500000US484790015012,484790015012,"Block Group 2, Census Tract 15.01, Webb County, Texas",8804.59860745,4810465.33071,8804.59836274,4810465.31091,8804.59860745,4810465.33071,16325,1843,485,371,3.87,202,39,130,114,1.53,64,50,197,269,69,39,89,44,28,60,154,174,216,1219,534,685,508,26,4.86891385768,930,445,Est_M_5th_and_6th,485,Est_F_HS_GED,Total_HS_GED,219,YES,359,51.40379,34.70389,86.10768,13.89232,570631.23046875,3032.953669259993,38.6
2,2,48,479,001709,3,484790017093,Block Group 3,G5030,S,1249745,0,+27.5639130,-099.4965085,LDO484790017093,1500000US484790017093,484790017093,"Block Group 3, Census Tract 17.09, Webb County, Texas",18286.8334716,13450549.5546,18286.8324243,13450549.2475,18286.8334716,13450549.5546,36042,1304,441,387,2.93,213,66,108,54,1.35,18,36,82,99,0,0,82,0,17,82,82,305,342,962,638,324,621,17,2.66457680251,961,467,Est_M_HS_GED,494,Est_F_HS_GED,Total_HS_GED,290,YES,729,50.41847,38.51974,88.93821,11.06179,1596393.03125,6298.455310670311,75.86
3,3,48,479,001502,2,484790015022,Block Group 2,G5030,S,646526,0,+27.5339025,-099.4845926,LDO484790015022,1500000US484790015022,484790015022,"Block Group 2, Census Tract 15.02, Webb County, Texas",11210.8504857,6958228.44849,11210.8507409,6958228.21268,11210.8504857,6958228.44849,21824,2819,920,697,3.45,436,115,146,223,1.09,107,116,291,404,79,83,129,67,46,75,205,406,516,2191,955,1236,921,34,3.56020942408,1768,928,Est_M_HS_GED,840,Est_F_HS_GED,Total_HS_GED,513,YES,1002,43.43928,33.15308,76.59236,23.40764,825406.82421875,3860.534645579657,56.67
4,4,48,479,001601,1,484790016011,Block Group 1,G5030,S,1219240,0,+27.5357540,-099.4759516,LDO484790016011,1500000US484790016011,484790016011,"Block Group 1, Census Tract 16.01, Webb County, Texas",18252.6091661,13122087.302,18252.6091571,13122087.0141,18252.6091661,13122087.302,38182,972,262,224,3.63,138,7,79,38,1.0,22,16,55,55,25,0,30,0,0,23,23,169,207,697,384,313,372,12,3.125,395,251,Est_M_HS_GED,144,Est_F_College_1_or_more_No_Degree,Total_HS_GED,119,YES,292,54.64346,36.51344,91.1569,8.8431,1556634.14453125,6282.258175822439,73.92
5,5,48,479,001601,2,484790016012,Block Group 2,G5030,S,671022,0,+27.5426340,-099.4761320,LDO484790016012,1500000US484790016012,484790016012,"Block Group 2, Census Tract 16.01, Webb County, Texas",12012.8648835,7221926.78909,12012.8651707,7221926.6963,12012.8648835,7221926.78909,27258,983,346,290,2.99,162,24,104,56,1.0,26,30,108,108,34,0,74,0,0,74,74,182,238,696,379,317,374,5,1.31926121372,691,245,Est_M_5th_and_6th,446,Est_F_Associates_degree,Total_5th_and_6th,158,NO,365,42.2421,34.01747,76.25957,23.74043,856819.796875,4132.897663277313,52.82
6,6,48,479,001814,2,484790018142,Block Group 2,G5030,S,10926787,19545,+27.4894888,-099.3729265,LDO484790018142,1500000US484790018142,484790018142,"Block Group 2, Census Tract 18.14, Webb County, Texas",62509.7944198,117808680.865,92484.0623895,39179995.2222,62509.7944198,117808680.865,28000,1877,396,354,4.48,257,46,51,42,1.26,22,20,156,165,83,33,40,0,9,22,138,198,231,1038,553,485,487,66,11.9349005425,648,304,Est_M_5th_and_6th,344,Est_F_HS_GED,Total_5th_and_6th,206,NO,173,48.97455,50.18757,99.16212,0.83788,13964370.7109375,21482.60735294485,26.7
7,7,48,479,001202,2,484790012022,Block Group 2,G5030,S,320658,0,+27.5201280,-099.5002749,LDO484790012022,1500000US484790012022,484790012022,"Block Group 2, Census Tract 12.02, Webb County, Texas",7484.34146316,3451062.39786,7484.34156639,3451062.49739,7484.34146316,3451062.39786,11071,1898,508,409,3.91,199,16,194,99,1.06,33,66,297,371,105,11,181,33,41,149,234,112,137,1117,398,719,366,32,8.04020100503,854,310,Est_M_College_1_or_more_No_Degree,544,Est_F_9th,Total_9th,153,NO,336,43.20335,30.59074,73.79409,26.20591,409276.12890625,2578.743264572399,39.34
8,8,48,479,001401,2,484790014012,Block Group 2,G5030,S,438844,0,+27.5352564,-099.5121468,LDO484790014012,1500000US484790014012,484790014012,"Block Group 2, Census Tract 14.01, Webb County, Texas",10047.725936,4723042.47546,10047.7261795,4723042.19477,10047.725936,4723042.47546,23718,1814,418,341,4.49,231,28,82,77,1.1,56,21,139,190,106,20,13,30,21,13,100,202,228,1241,618,623,537,81,13.1067961165,920,486,Est_M_HS_GED,434,Est_F_HS_GED,Total_HS_GED,357,YES,485,50.02197,40.25658,90.27855,9.72145,560275.41015625,3464.7021168656634,52.72
9,9,48,479,001401,1,484790014011,Block Group 1,G5030,S,862260,0,+27.5398089,-099.5064695,LDO484790014011,1500000US484790014011,484790014011,"Block Group 1, Census Tract 14.01, Webb County, Texas",12568.8990796,9280130.22677,12568.8993098,9280130.12833,12568.8990796,9280130.22677,19688,1276,408,304,3.45,154,49,101,104,1.0,37,67,137,198,90,0,47,29,32,47,110,167,210,1030,363,667,284,79,21.7630853994,1028,460,Est_M_HS_GED,568,Est_F_HS_GED,Total_HS_GED,305,YES,498,42.38715,36.11747,78.50462,21.49538,1100952.97265625,4330.938486498932,48.44
10,10,48,479,001706,3,484790017063,Block Group 3,G5030,S,467695,0,+27.5439319,-099.4998882,LDO484790017063,1500000US484790017063,484790017063,"Block Group 3, Census Tract 17.06, Webb County, Texas",12386.8165217,5033601.76028,12386.8156701,5033601.30895,12386.8165217,5033601.76028,20450,1068,287,236,3.75,135,12,89,51,1.25,13,38,114,152,64,12,38,0,38,38,100,122,135,732,410,322,373,37,9.0243902439,844,384,Est_M_HS_GED,460,Est_F_HS_GED,Total_HS_GED,170,YES,435,48.19161,32.43713,80.62874,19.37126,597207.4140625,4265.894121399871,51.54
11,11,48,479,001706,4,484790017064,Block Group 4,G5030,S,200820,0,+27.5411241,-099.4948491,LDO484790017064,1500000US484790017064,484790017064,"Block Group 4, Census Tract 17.06, Webb County, Texas",6002.75394155,2161323.92875,6002.75339725,2161324.17201,6002.75394155,2161323.92875,19519,1380,468,325,3.29,165,39,121,143,1.43,46,97,137,186,33,17,87,19,30,79,129,188,282,1017,486,531,461,25,5.14403292181,1002,485,Est_M_HS_GED,517,Est_F_HS_GED,Total_HS_GED,329,YES,607,48.5247,34.30036,82.82506,17.17494,256415.76171875,2067.048594305194,60.58
12,12,48,479,001706,2,484790017062,Block Group 2,G5030,S,204183,0,+27.5446937,-099.4942064,LDO484790017062,1500000US484790017062,484790017062,"Block Group 2, Census Tract 17.06, Webb County, Texas",5965.89392866,2197535.24948,5965.89391457,2197535.31053,5965.89392866,2197535.24948,28558,866,353,160,3.44,109,22,29,193,1.4,65,128,56,113,56,0,0,6,51,0,56,104,240,619,368,251,368,0,0.0,483,198,Est_M_Associates_degree,285,Est_F_Bachelors_degree,Total_7th_and_8th,85,NO,268,43.44648,31.42658,74.87306,25.12694,260728.234375,2054.3761978488137,55.49
13,13,48,479,001601,3,484790016013,Block Group 3,G5030,S,928087,0,+27.5493145,-099.4770486,LDO484790016013,1500000US484790016013,484790016013,"Block Group 3, Census Tract 16.01, Webb County, Texas",12594.2845319,9988584.98447,12594.2845397,9988584.83373,12594.2845319,9988584.98447,56338,2201,656,538,3.46,377,46,115,118,1.19,79,39,67,88,38,0,29,12,9,21,40,471,568,1729,1043,686,1023,20,1.91754554171,1243,621,Est_M_HS_GED,622,Est_F_Masters_degree,Total_HS_GED,305,YES,854,50.46288,41.03192,91.4948,8.5052,1185200.1015625,4338.5288116422425,68.7
14,14,48,479,001722,2,484790017222,Block Group 2,G5030,S,870178,0,+27.5878830,-099.4734715,LDO484790017222,1500000US484790017222,484790017222,"Block Group 2, Census Tract 17.22, Webb County, Texas",22068.8935077,9365478.14295,22068.8933845,9365478.22031,22068.8935077,9365478.14295,85690,1476,506,443,2.94,305,47,91,63,1.0,0,63,15,15,15,0,0,0,0,0,0,428,491,1236,901,335,842,59,6.54827968923,1036,463,Est_M_College_1_or_more_No_Degree,573,Est_F_Bachelors_degree,Total_Some_college_1_or_more_years_no_degree,271,YES,831,85.88829,46.139,132.02729,-32.02729,1111959.34375,7605.0298959942065,80.21
15,15,48,479,001713,1,484790017131,Block Group 1,G5030,S,2159664,0,+27.5998078,-099.4588220,LDO484790017131,1500000US484790017131,484790017131,"Block Group 1, Census Tract 17.13, Webb County, Texas",21777.1841772,23244000.9812,21777.1835758,23244001.3084,21777.1841772,23244000.9812,73773,6713,1815,1447,4.06,1118,185,144,368,1.32,133,235,91,91,16,75,0,0,0,0,91,1356,1724,4619,3502,1117,3316,186,5.31125071388,3612,1685,Est_M_Bachelors_degree,1927,Est_F_HS_GED,Total_HS_GED,980,YES,3052,70.27224,46.70699,116.97923,-16.97923,2760492.94921875,7498.99950233602,84.5
16,16,48,479,001719,1,484790017191,Block Group 1,G5030,S,343310,0,+27.5473413,-099.4857302,LDO484790017191,1500000US484790017191,484790017191,"Block Group 1, Census Tract 17.19, Webb County, Texas",8783.29533547,3694888.60106,8783.29574636,3694888.27567,8783.29533547,3694888.60106,50278,712,238,187,3.54,128,21,38,51,1.0,11,40,10,10,5,0,5,0,0,0,5,177,228,552,302,250,290,12,3.97350993377,436,170,Est_M_Bachelors_degree,266,Est_F_Bachelors_degree,Total_Bachelors_degree,154,YES,367,59.23924,41.95581,101.19505,-1.19505,438403.44921875,3023.362930619676,84.17
17,17,48,479,001718,2,484790017182,Block Group 2,G5030,S,235054,0,+27.5484447,-099.4934215,LDO484790017182,1500000US484790017182,484790017182,"Block Group 2, Census Tract 17.18, Webb County, Texas",6339.75652235,2529796.37369,6339.75645304,2529796.15344,6339.75652235,2529796.37369,63015,614,211,185,2.97,168,12,5,26,1.19,11,15,20,26,20,0,0,0,6,0,5,165,185,528,245,283,233,12,4.89795918367,483,241,Est_M_HS_GED,242,Est_F_Bachelors_degree,Total_HS_GED,135,YES,340,49.06472,37.39962,86.46434,13.53566,300169.4921875,2183.266927013129,70.39
18,18,48,479,001711,2,484790017112,Block Group 2,G5030,S,23606863,439221,+27.6178720,-099.5334595,LDO484790017112,1500000US484790017112,484790017112,"Block Group 2, Census Tract 17.11, Webb County, Texas",101103.99892,258804326.666,78772.996699,192355708.361,101103.99892,258804326.666,51926,4247,1048,991,3.97,838,35,118,57,1.0,26,31,100,100,100,0,0,0,0,0,90,891,948,2618,1704,914,1654,50,2.93427230047,2149,1010,Est_M_HS_GED,1139,Est_F_College_1_or_more_No_Degree,Total_HS_GED,522,YES,1530,61.022,49.44277,110.46477,-10.46477,30746063.0703125,34839.705424568005,71.2
19,19,48,479,001711,1,484790017111,Block Group 1,G5030,S,28898737,225574,+27.6560803,-099.5525079,LDO484790017111,1500000US484790017111,484790017111,"Block Group 1, Census Tract 17.11, Webb County, Texas",98037.7442541,313464499.915,84719.4362754,113920647.901,98037.7442541,313464499.915,62188,2219,582,546,3.73,368,85,93,36,1.5,27,9,50,50,29,12,9,0,0,9,50,496,532,1549,993,556,940,53,5.33736153072,1095,533,Est_M_Bachelors_degree,562,Est_F_College_1_or_more_No_Degree,Total_Some_college_1_or_more_years_no_degree,348,YES,892,70.27224,50.09197,120.36421,-20.36421,37261295.75390625,33796.37316059901,81.46
20,20,48,479,001721,1,484790017211,Block Group 1,G5030,S,666996,0,+27.5769324,-099.4772052,LDO484790017211,1500000US484790017211,484790017211,"Block Group 1, Census Tract 17.21, Webb County, Texas",12863.1839375,7178654.99308,12863.1842781,7178655.54387,12863.1839375,7178654.99308,88068,1072,393,285,3.14,208,28,49,108,1.0,80,28,0,22,0,0,0,22,0,0,0,285,371,931,627,304,566,61,9.7288676236,888,355,Est_M_HS_GED,533,Est_F_Bachelors_degree,Total_Bachelors_degree,228,YES,722,86.58636,45.14564,131.732,-31.732,852202.75,4434.075428842407,81.31
21,21,48,479,001718,1,484790017181,Block Group 1,G5030,S,1336748,0,+27.5531063,-099.4975570,LDO484790017181,1500000US484790017181,484790017181,"Block Group 1, Census Tract 17.18, Webb County, Texas",15732.4355084,14386877.6718,15732.4353438,14386877.5075,15732.4355084,14386877.6718,54318,1557,512,378,3.35,273,0,105,134,1.16,66,68,42,69,21,0,21,0,27,21,32,336,443,1208,657,551,652,5,0.76103500761,1012,465,Est_M_College_1_or_more_No_Degree,547,Est_F_Bachelors_degree,Total_Bachelors_degree,228,YES,749,57.60131,43.46757,101.06888,-1.06888,1707195.6640625,5419.51085005641,74.01
22,22,48,479,000101,1,484790001011,Block Group 1,G5030,S,393671,0,+27.4952704,-099.4782380,LDO484790001011,1500000US484790001011,484790001011,"Block Group 1, Census Tract 1.01, Webb County, Texas",10228.9465159,4236835.30382,10228.9457168,4236835.27878,10228.9465159,4236835.30382,0,1633,452,336,4.12,190,44,102,116,1.16,45,71,148,250,122,0,26,45,57,26,105,188,202,1217,583,634,550,33,5.66037735849,1149,505,Est_M_HS_GED,644,Est_F_HS_GED,Total_HS_GED,344,YES,591,42.98764,37.79177,80.77941,19.22059,502243.5234375,3524.981743434529,51.44
23,23,48,479,000108,1,484790001081,Block Group 1,G5030,S,331068,0,+27.4662526,-099.4659004,LDO484790001081,1500000US484790001081,484790001081,"Block Group 1, Census Tract 1.08, Webb County, Texas",8956.93036589,3563063.17799,8956.93052876,3563063.07755,8956.93036589,3563063.17799,32422,1871,431,352,4.48,221,42,89,79,1.13,47,32,113,167,50,15,48,22,32,40,87,239,264,1286,750,536,670,80,10.6666666667,840,400,Est_M_HS_GED,440,Est_F_HS_GED,Total_HS_GED,211,YES,488,41.55839,44.37743,85.93582,14.06418,422156.56640625,3081.364343617171,58.1
24,24,48,479,000109,1,484790001091,Block Group 1,G5030,S,341565,0,+27.4662070,-099.4739819,LDO484790001091,1500000US484790001091,484790001091,"Block Group 1, Census Tract 1.09, Webb County, Texas",7768.56401472,3676038.07453,7768.56344537,3676038.3174,7768.56401472,3676038.07453,27361,1500,385,323,4.06,204,10,109,62,1.0,20,42,126,171,52,0,74,14,31,74,114,197,214,944,562,382,509,53,9.43060498221,718,321,Est_M_HS_GED,397,Est_F_HS_GED,Total_HS_GED,244,YES,370,40.01571,42.60468,82.62039,17.37961,435541.65234375,2673.3150494154825,51.53
25,25,48,479,000108,2,484790001082,Block Group 2,G5030,S,507810,0,+27.4707882,-099.4662918,LDO484790001082,1500000US484790001082,484790001082,"Block Group 2, Census Tract 1.08, Webb County, Texas",9919.16412358,5465214.78514,9919.16381661,5465214.54505,9919.16412358,5465214.78514,26823,2470,490,442,4.59,250,63,129,48,1.31,24,24,219,234,88,56,75,6,9,75,208,223,256,1483,765,718,743,22,2.87581699346,811,387,Est_M_5th_and_6th,424,Est_F_HS_GED,Total_HS_GED,181,YES,369,35.98137,38.95451,74.93588,25.06412,647577.984375,3413.815272402351,45.5
26,26,48,479,001807,2,484790018072,Block Group 2,G5030,S,1725046,37430,+27.4458388,-099.4903751,LDO484790018072,1500000US484790018072,484790018072,"Block Group 2, Census Tract 18.07, Webb County, Texas",18369.3227906,18968220.3455,18180.026701,18718994.003,18369.3227906,18968220.3455,40400,3256,726,635,4.4,393,15,227,91,1.93,91,0,188,188,66,0,122,0,0,122,175,447,538,2286,1426,860,1306,120,8.41514726508,1645,830,Est_M_HS_GED,815,Est_F_HS_GED,Total_HS_GED,431,YES,980,46.62485,45.2966,91.92145,8.07855,2246595.85546875,6318.222617643276,59.57
27,27,48,479,001809,1,484790018091,Block Group 1,G5030,S,6038079,102934,+27.4369709,-099.4581572,LDO484790018091,1500000US484790018091,484790018091,"Block Group 1, Census Tract 18.09, Webb County, Texas",42665.9535937,66091019.6509,40734.916009,55588405.7584,42665.9535937,66091019.6509,31738,6357,1293,1250,4.54,750,52,448,43,1.19,27,16,472,480,217,41,214,0,8,205,429,778,813,3627,2165,1462,1967,198,9.1454965358,2599,987,Est_M_9th,1612,Est_F_HS_GED,Total_HS_GED,688,YES,1328,51.66707,48.1362,99.80327,0.19673,7826927.703125,14676.903053117132,51.1
28,28,48,479,001402,2,484790014022,Block Group 2,G5030,S,272058,0,+27.5323720,-099.5178725,LDO484790014022,1500000US484790014022,484790014022,"Block Group 2, Census Tract 14.02, Webb County, Texas",7233.32438558,2928014.93669,7233.3237503,2928015.00704,7233.32438558,2928014.93669,22027,1357,272,235,4.95,163,6,66,37,1.0,7,30,130,162,86,0,44,7,25,37,109,105,110,899,387,512,382,5,1.29198966408,675,370,Est_M_HS_GED,305,Est_F_HS_GED,Total_HS_GED,200,YES,336,49.22498,39.30073,88.52571,11.47429,347320.92578125,2490.638877841005,49.78
29,29,48,479,000106,3,484790001063,Block Group 3,G5030,S,340811,0,+27.4835346,-099.4647795,LDO484790001063,1500000US484790001063,484790001063,"Block Group 3, Census Tract 1.06, Webb County, Texas",7988.29193747,3667941.30662,7988.29256887,3667941.70624,7988.29193747,3667941.30662,31729,1208,339,275,3.75,158,8,109,64,1.0,49,15,62,70,16,8,38,0,8,24,37,213,269,1052,693,359,675,18,2.5974025974,806,373,Est_M_College_1_or_more_No_Degree,433,Est_F_HS_GED,Total_HS_GED,224,YES,379,66.31092,41.54379,107.85471,-7.85471,434715.43359375,2751.3127820924324,47.02
30,30,48,479,001714,1,484790017141,Block Group 1,G5030,S,8580604,332654,+27.5655519,-099.4357261,LDO484790017141,1500000US484790017141,484790017141,"Block Group 1, Census Tract 17.14, Webb County, Texas",56587.4995086,95930269.8185,51135.3378034,82132524.3839,56587.4995086,95930269.8185,101875,2843,604,517,3.81,485,28,4,87,1.0,66,21,7,7,7,0,0,0,0,0,7,510,597,2145,1289,856,1188,101,7.83553141971,1111,540,Est_M_Bachelors_degree,571,Est_F_Bachelors_degree,Total_Bachelors_degree,270,YES,885,113.42376,50.92471,164.34847,-64.34847,11386224.77734375,19505.803159398547,79.66
31,31,48,479,001103,2,484790011032,Block Group 2,G5030,S,223303,0,+27.5220378,-099.4653203,LDO484790011032,1500000US484790011032,484790011032,"Block Group 2, Census Tract 11.03, Webb County, Texas",6636.4734794,2403288.06262,6636.47381725,2403288.40171,6636.4734794,2403288.06262,32143,850,240,180,3.8,99,0,81,60,1.12,12,48,67,79,33,0,34,0,12,29,62,113,161,521,346,175,323,23,6.64739884393,388,183,Est_M_HS_GED,205,Est_F_HS_GED,Total_HS_GED,176,YES,325,59.50677,33.51425,93.02102,6.97898,285025.74609375,2285.5146081881303,83.76
32,32,48,479,001809,2,484790018092,Block Group 2,G5030,S,5042503,9883,+27.4242830,-099.4690990,LDO484790018092,1500000US484790018092,484790018092,"Block Group 2, Census Tract 18.09, Webb County, Texas",33523.5982789,54374704.2503,33523.597025,54374704.3118,33523.5982789,54374704.2503,39286,1882,390,347,4.69,195,46,106,43,1.44,24,19,98,117,16,32,50,0,19,50,96,249,273,1034,657,377,601,56,8.52359208524,917,436,Est_M_Associates_degree,481,Est_F_HS_GED,Total_HS_GED,280,YES,658,53.53263,49.86974,103.40237,-3.40237,6437491.4765625,11532.900442425418,71.76
33,33,48,479,001812,2,484790018122,Block Group 2,G5030,S,618173,0,+27.4798368,-099.4545446,LDO484790018122,1500000US484790018122,484790018122,"Block Group 2, Census Tract 18.12, Webb County, Texas",13291.5711645,6652972.59077,13291.5711711,6652972.4973,13291.5711645,6652972.59077,41713,2132,413,413,4.37,244,11,158,0,0.0,0,0,158,158,85,0,73,0,0,73,150,255,255,1285,770,515,731,39,5.06493506494,928,456,Est_M_HS_GED,472,Est_F_HS_GED,Total_HS_GED,338,YES,689,51.6907,45.38426,97.07496,2.92504,788442.33984375,4573.419395072816,74.25
